frame,atom_index,symbol,x_A,y_A,z_A,formal_charge_e,predicted_charge_e,force_x_eV_A,force_y_eV_A,force_z_eV_A
0,0,H,9.04638977,12.69041951,12.97776359,1,0.0240818709135,0.770186901093,1.24822366238,-3.91699075699
0,1,O,12.00387415,11.99911896,10.68902028,-2,0.610332965851,6.76743650436,2.93472743034,4.35268640518
0,2,H,10.22830312,10.6984727,9.70881406,1,0.0309168696404,-0.631130337715,-1.8396447897,-0.996979773045
0,3,H,14.00025823,13.35300633,11.50542538,1,0.0197366140783,0.824731647968,-0.985661566257,-0.449010372162
0,4,O,10.97866385,11.25748,13.29951981,-2,0.00297727435827,3.21333312988,-1.47714972496,1.92158353329
0,5,H,15.82112532,15.97842313,10.34284957,1,0.0267917141318,-2.74840855598,1.18543505669,-0.713992476463
0,6,O,9.96369866,11.25927459,10.41597623,-2,0.00235652178526,-1.89416456223,-1.42376589775,1.04014396667
0,7,H,11.3519755,11.6732565,10.03630506,1,0.0322208218277,-0.829815149307,0.495180875063,1.02361881733
0,8,O,9.3618432,13.00705177,11.99288639,-2,-0.140917062759,0.962236225605,1.39235079288,5.40513801575
0,9,O,14.83745983,16.08654433,9.99885862,-2,-0.0230867341161,3.83804583549,1.58145642281,1.51701545715
0,10,H,14.80853881,15.24095,9.63886689,1,0.0231007616967,-0.460527539253,-1.70026159286,-2.72279977798
0,11,H,14.67245584,12.87886678,13.65407252,1,0.0259985569865,-0.297634959221,0.0176752414554,-0.0428115651011
0,12,H,10.95254067,12.17837727,13.47765241,1,0.0194590166211,-0.925338745117,1.69149565697,0.197538420558
0,13,O,13.32446879,9.04398124,12.27421419,-2,-0.0349774211645,-0.251685261726,0.195031240582,1.81237769127
0,14,H,10.90453624,15.67634478,12.60716,1,0.0330958552659,-0.372106194496,2.95700573921,-0.685396969318
0,15,H,13.56362747,9.87090693,12.79555474,1,0.0144625436515,-0.270238816738,-2.00194311142,-0.757555007935
0,16,O,14.19978606,15.18390615,12.28964695,-2,-0.0463924482465,-3.23613977432,2.8063287735,-0.0485394969583
